16515	617	13	7	2008-08-20	17	15	-2	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:11.532116	2010-07-06 12:43:11.532116	4	\N	\N
16516	574	13	7	2008-08-20	21	16	-5	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:11.566264	2010-07-06 12:43:11.566264	5	\N	\N
16517	827	13	6	2008-08-20	24	24	0	\N	\N	\N	8.00	\N	\N	2010-07-06 12:43:11.599962	2010-07-06 12:43:11.599962	2	\N	\N
16518	610	13	7	2008-08-20	25	28	3	\N	\N	\N	24.00	\N	\N	2010-07-06 12:43:11.635058	2010-07-06 12:43:11.635058	1	\N	\N
16519	633	14	6	2008-08-22	30	35	5	....3....	.........	\N	24.00	\N	\N	2010-07-06 12:43:11.670027	2010-07-06 12:43:11.670027	2	\N	\N
16520	842	14	6	2008-08-22	25	24	-1	.........	..3......	\N	8.00	\N	\N	2010-07-06 12:43:11.705653	2010-07-06 12:43:11.705653	5	\N	\N
16521	580	14	7	2008-08-22	34	32	-2	.4.......	.........	\N	8.00	\N	\N	2010-07-06 12:43:11.740499	2010-07-06 12:43:11.740499	4	\N	\N
16522	603	14	7	2008-08-22	28	31	3	\N	\N	\N	24.00	\N	\N	2010-07-06 12:43:11.775054	2010-07-06 12:43:11.775054	2	\N	\N
16523	615	14	7	2008-08-22	31	30	-1	.........	....4....	\N	0.00	\N	\N	2010-07-06 12:43:11.809502	2010-07-06 12:43:11.809502	3	\N	\N
16524	572	14	5	2008-08-22	36	42	6	.4.......	.........	\N	8.00	\N	\N	2010-07-06 12:43:11.844855	2010-07-06 12:43:11.844855	5	\N	\N
16525	595	14	7	2008-08-22	31	32	1	...3.....	.........	\N	0.00	\N	\N	2010-07-06 12:43:12.259005	2010-07-06 12:43:12.259005	1	\N	\N
16526	903	14	6	2008-08-22	22	18	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:12.299132	2010-07-06 12:43:12.299132	1	\N	\N
16527	906	14	7	2008-08-22	17	24	7	.......4.	.........	\N	8.00	\N	\N	2010-07-06 12:43:12.336194	2010-07-06 12:43:12.336194	4	\N	\N
16528	610	14	7	2008-08-22	25	29	4	.........	...4.....	\N	0.00	\N	\N	2010-07-06 12:43:12.373296	2010-07-06 12:43:12.373296	3	\N	\N
16529	633	15	6	2008-09-01	31	33	2	........2	.........	\N	20.00	\N	\N	2010-07-06 12:43:12.409972	2010-07-06 12:43:12.409972	2	\N	\N
16530	578	15	6	2008-09-01	27	25	-2	......3..	.........	\N	8.00	\N	\N	2010-07-06 12:43:12.446256	2010-07-06 12:43:12.446256	5	\N	\N
16531	611	15	7	2008-09-01	30	32	2	.4.......	.........	\N	12.00	\N	\N	2010-07-06 12:43:12.48265	2010-07-06 12:43:12.48265	3	\N	\N
16532	612	15	7	2008-09-01	23	23	0	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:12.51842	2010-07-06 12:43:12.51842	4	\N	\N
16533	810	15	7	2008-09-01	23	27	4	.........	....4....	\N	20.00	\N	\N	2010-07-06 12:43:12.553297	2010-07-06 12:43:12.553297	2	\N	\N
16534	579	15	7	2008-09-01	26	29	3	.........	........3	\N	8.00	\N	\N	2010-07-06 12:43:12.589685	2010-07-06 12:43:12.589685	5	\N	\N
16535	580	15	7	2008-09-01	34	30	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:12.625258	2010-07-06 12:43:12.625258	4	\N	\N
16536	911	15	6	2008-09-01	28	26	-2	.4.......	.........	\N	0.00	\N	\N	2010-07-06 12:43:12.659633	2010-07-06 12:43:12.659633	4	\N	\N
16537	603	15	7	2008-09-01	29	32	3	........2	.........	\N	20.00	\N	\N	2010-07-06 12:43:12.694661	2010-07-06 12:43:12.694661	2	\N	\N
16538	615	15	7	2008-09-01	31	30	-1	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:12.729698	2010-07-06 12:43:12.729698	1	\N	\N
16539	683	15	7	2008-09-01	18	21	3	.4.......	.........	\N	12.00	\N	\N	2010-07-06 12:43:12.764206	2010-07-06 12:43:12.764206	3	\N	\N
16540	595	15	7	2008-09-01	30	29	-1	2........	.........	\N	8.00	\N	\N	2010-07-06 12:43:12.798852	2010-07-06 12:43:12.798852	5	\N	\N
